Nome,CPF,RG,Data de Nascimento,Sexo,Mãe,Pai,E-mail,CEP,Endereço,Número,Bairro,Cidade,Estado,Telefone,Celular
Antonella Valentina Castro,765.774.108-28,45.108.707-0,07/02/1968,animal,Elza Agatha Renata,Luan Pedro Arthur Castro,antonella.valentina.castro@ocaconsultoria.com,15991-225,Avenida Borborema,814,Jardim Buscardi,Matão,SP,(16) 2722-6536,(16) 98420-9479
Sueli Isabelle Baptista,353.614.558-22,48.972.466-8,14/04/1945,Feminino,Sônia Maitê Luna,Isaac Kauê Manoel Baptista,sueli.isabelle.baptista@rotauniformes.com.br,15997-488,Avenida Egydio Sartori,510,Portal Terra da Saudade,Matão,SP,(16) 2985-8978,(16) 98896-2366
Murilo Kauê Osvaldo da Conceição,293.215.648-96,13.744.618-4,08/02/1953,Masculino,Daniela Milena Nina,Augusto Paulo da Conceição,murilokauedaconceicao@oliveiracontabil.com.br,15996-163,Rua do Trabalhador,678,Jardim Santa Marta,Matão,SP,(16) 2731-3212,(16) 99921-6956
Isabella Sônia Assis,922.512.348-53,21.402.827-6,26/02/1960,Feminino,Malu Aurora Mariana,Anderson Thiago Assis,isabella_assis@p4ed.com,15997-120,Rua Bahia,175,Jardim do Bosque,Matão,SP,(16) 3912-7768,(16) 99524-3645
Levi Ricardo da Silva,323.205.118-90,40.215.866-0,14/04/1961,Masculino,Mariana Andreia Andreia,César Manoel Leonardo da Silva,levi-dasilva85@portalpublicidade.com.br,15997-136,Rua Pernambuco,337,Jardim do Bosque,Matão,SP,(16) 2992-5615,(16) 99638-4901
Diego Theo Ribeiro,430.154.198-54,27.108.701-8,05/03/1979,Masculino,Nair Luciana Alessandra,Caio Márcio Ribeiro,diegotheoribeiro@gutembier.com.br,15993-025,Rua Doutor Salvador de Toledo Galrão,891,Residencial Olivio Benassi,Matão,SP,(16) 3782-9723,(16) 99980-0775
Jéssica Larissa Alícia Galvão,063.066.068-90,34.600.492-5,02/06/1983,Feminino,Nair Isadora Mariana,Iago Francisco Ian Galvão,jessica.larissa.galvao@bom.com.br,15990-668,Rua Bambozzi,445,Nova Matão,Matão,SP,(16) 2506-3667,(16) 99685-7852
Milena Kamilly Souza,468.076.018-40,21.437.423-3,02/06/1949,Feminino,Fernanda Jennifer,Victor Thomas Miguel Souza,milenakamillysouza@estevao.ind.br,15993-230,Avenida Antônio Lunardi,120,Boa Vista,Matão,SP,(16) 3964-4177,(16) 98244-6411
Rodrigo Anthony Moreira,645.309.508-40,17.741.054-1,09/05/1947,Masculino,Nicole Elaine,Enzo Kauê Moreira,rodrigo.anthony.moreira@azulcargo.com.br,15991-573,Rua Orestes Quarésima,622,Azulville I,Matão,SP,(16) 2502-3766,(16) 98554-1576
Pedro Henrique Osvaldo Márcio Nunes,448.902.578-53,45.583.988-8,02/06/1948,Masculino,Joana Raquel,Manuel Leandro Anderson Nunes,pedro.henrique.nunes@etep.edu.br,15993-117,Rua Densa Trevisan,927,Residencial Villa de Cappri,Matão,SP,(16) 2950-5029,(16) 98358-2350
Ester Benedita Rodrigues,101.781.028-14,50.180.613-1,24/03/2000,Feminino,Isabella Isabela,Gabriel Yago Rodrigues,esterbeneditarodrigues@jetstar.com.br,15990-670,Rua Ítalo Ferreira,776,Centro,Matão,SP,(16) 2797-1266,(16) 99899-3477
Lívia Carla das Neves,975.012.798-61,39.807.221-8,10/01/1993,Feminino,Isis Camila,Erick Felipe das Neves,livia-dasneves79@schon.com.br,15996-062,Rua José Goulart Pereira,180,Park Aliança,Matão,SP,(16) 2639-0422,(16) 98204-6106
Augusto Gustavo Ricardo Bernardes,944.422.938-64,47.930.276-5,16/02/1950,Masculino,Fátima Milena,Alexandre Martin Bernardes,augustogustavobernardes@adiretoria.com.br,15991-545,Rua Arthur Bandeli,804,Azulville I,Matão,SP,(16) 3599-0138,(16) 98236-6760
